,prop_0-14,prop_15-24,prop_25-44,prop_45-64,prop_65+,prop_low_ed,prop_med_ed,prop_high_ed,prop_recipients,prop_employee,prop_self_employed,prop_men,prop_women,pop_density,income,liveability_score,inhabitants,household_size,households,assistance,AO,WW,Pension,p_belong_40p_w_lowest_income,p_belong_20p_w_highest_income,p_household_lowest_40p_income,p_household_highest_20p_income,p_household_smaller_bare_social_minimum,p_household_upto_110p_social_minimum,p_household_120p_social_minimum,single_family_housing,multi_family_housing
173,0.20689655172413793,0.15763546798029557,0.5517241379310345,0.08866995073891626,0.0049261083743842365,0.4630541871921182,0.31527093596059114,0.4039408866995074,0.7881773399014779,0.17793103448275863,0.03389162561576353,0.5467980295566502,0.458128078817734,0.05358552183970608,0.07366771159874608,0.12693422701316107,0.028742726150590724,0.23809523809523808,0.03820960698689956,0.07650273224043716,0.057971014492753624,0.09090909090909091,0.0013568521031207597,0.578,0.066,0.835,0.042,0.209,0.313,0.366,0.14,0.86
174,0.22385861561119294,0.14138438880706922,0.2621502209131075,0.29896907216494845,0.07363770250368189,0.15022091310751104,0.28276877761413843,0.30927835051546393,0.7363770250368189,0.22407952871870399,0.03954344624447714,0.4963181148748159,0.5036818851251841,0.22473805959994558,0.21786833855799373,0.46274206429966536,0.11267853994004584,0.7619047619047619,0.08442503639010189,0.0273224043715847,0.08695652173913043,0.09090909090909091,0.031207598371777476,0.341,0.345,0.261,0.397,0.054000000000000006,0.076,0.09300000000000001,0.8,0.2
175,0.178335535006605,0.12417437252311757,0.31836195508586523,0.2866578599735799,0.09379128137384413,0.20871862615587847,0.2562747688243065,0.31704095112285335,0.7661822985468957,0.2034214002642008,0.030396301188903574,0.4861294583883752,0.5138705416116248,0.2569873452170363,0.1724137931034483,0.4104301663561719,0.12643272791394816,0.619047619047619,0.10662299854439593,0.04918032786885246,0.16666666666666666,0.09090909090909091,0.04477611940298507,0.371,0.251,0.311,0.254,0.065,0.091,0.111,0.68,0.32
176,0.19148936170212766,0.11198208286674133,0.270996640537514,0.3012318029115342,0.12541993281075028,0.1433370660694289,0.21724524076147816,0.39417693169092943,0.761478163493841,0.20274356103023516,0.035778275475923826,0.5016797312430011,0.49832026875699886,0.1390937542522792,0.24294670846394986,0.5059067132217661,0.15041438899664963,0.5714285714285713,0.1324599708879185,0.0273224043715847,0.10869565217391304,0.12121212121212122,0.07055630936227951,0.3,0.36,0.259,0.355,0.051,0.07,0.084,0.62,0.38
177,0.16216216216216217,0.0990990990990991,0.16216216216216217,0.3333333333333333,0.24324324324324326,0.10810810810810811,0.3063063063063063,0.34234234234234234,0.9009009009009009,0.06837837837837837,0.03072072072072074,0.5045045045045045,0.5045045045045045,0.0012246564158388895,0.21238244514106586,0.6212743591814757,0.012519837771116205,0.6666666666666666,0.008733624454148471,0.0,0.007246376811594203,0.030303030303030304,0.016282225237449117,0.379,0.265,0.253,0.452,0.07400000000000001,0.083,0.092,0.97,0.03
178,0.18538980969920196,0.1240024554941682,0.22406384284837325,0.2737875997544506,0.1921424186617557,0.15469613259668508,0.2639656230816452,0.3265807243707796,0.7857581338244322,0.17996316758747696,0.03427869858809085,0.4861878453038674,0.5138121546961326,0.0987073071166145,0.2061128526645768,0.5215752077171841,0.28019749603244576,0.619047619047619,0.23580786026200873,0.03278688524590164,0.18840579710144928,0.21212121212121213,0.20081411126187246,0.34,0.287,0.27699999999999997,0.327,0.033,0.054000000000000006,0.07200000000000001,0.81,0.19
179,0.31,0.095,0.245,0.255,0.09,0.11,0.21,0.36,0.7,0.228,0.07200000000000006,0.515,0.485,0.01379779561845149,0.38714733542319757,0.6968206684092091,0.02821371892082525,1.0,0.014919941775836972,0.0,0.007246376811594203,0.030303030303030304,0.012211668928086838,0.259,0.45399999999999996,0.081,0.6970000000000001,0.026000000000000002,0.026000000000000002,0.026000000000000002,1.0,0.0
180,0.27086743044189854,0.1309328968903437,0.265139116202946,0.27823240589198034,0.05564648117839607,0.16202945990180032,0.23895253682487724,0.3142389525368249,0.7037643207855974,0.2518003273322422,0.04443535188216041,0.4869067103109656,0.5122749590834698,0.20979725132671112,0.25391849529780564,0.467840622689165,0.20842884852759655,0.9047619047619047,0.1408296943231441,0.03278688524590164,0.13043478260869565,0.21212121212121213,0.04341926729986431,0.314,0.36700000000000005,0.182,0.501,0.03,0.045,0.055999999999999994,0.87,0.13
181,0.28505291005291006,0.082010582010582,0.3326719576719577,0.2123015873015873,0.08796296296296297,0.12962962962962962,0.1970899470899471,0.35714285714285715,0.6746031746031746,0.28309523809523807,0.042301587301587285,0.49007936507936506,0.5099206349206349,0.21363450809633963,0.2617554858934169,0.4593202275615827,0.2595662140715923,0.7619047619047619,0.19213973799126638,0.0546448087431694,0.18115942028985507,0.18181818181818182,0.08548168249660787,0.266,0.387,0.20600000000000002,0.406,0.03,0.044000000000000004,0.059000000000000004,0.71,0.29
182,0.323,0.104,0.316,0.213,0.044,0.138,0.212,0.32,0.64,0.306,0.05399999999999994,0.485,0.515,0.16734249557762962,0.2884012539184953,0.48106285217047584,0.16928231352495152,1.0,0.10516739446870452,0.0273224043715847,0.11594202898550725,0.12121212121212122,0.028493894165535955,0.266,0.406,0.146,0.54,0.022000000000000002,0.034,0.045,0.88,0.12
