,postal_code,Distance GP,Within 1 km GP,Within 3 km GP,Within 5 km GP,Distance Hospital,Within 5 km Hospital,Within 10 km Hospital,Within 20 km Hospital,Distance Supermarket,Within 1 km Supermarket,Within 3 km Supermarket,Within 5 km Supermarket,Distance Department Store,Within 5 km Department Store,Within 10 km Department Store,Within 20 km Department Store,Distance Restaurant,Within 1 km Restaurant,Within 3 km Restaurant,Within 5 km Restaurant,Distance Day Care,Within 1 km Day Care,Within 3 km Day Care,Within 5 km Day Care,Distance School,Within 1 km School,Within 3 km School,Within 5 km School
211,3620902,1.2,0.2,8.4,18.0,0.7,1.0,4.0,13.0,0.5,3.0,13.1,26.3,2.4,2.0,11.0,33.2,0.6,1.0,55.2,114.0,0.7,3.8,24.1,52.7,0.8,1.4,12.8,23.9
212,3620903,1.4,0.0,7.5,17.6,0.7,1.0,4.0,13.0,0.6,2.6,13.0,26.1,2.5,2.0,10.3,31.7,0.7,1.0,48.2,112.8,0.4,3.6,22.2,51.5,0.3,2.0,11.8,23.5
213,3620904,0.6,1.0,7.1,17.3,1.2,1.0,4.0,13.0,0.6,2.9,12.6,25.8,2.7,2.0,10.6,31.6,1.2,0.1,47.7,111.4,0.5,1.9,22.1,48.4,0.9,1.3,11.1,22.4
214,3620905,1.2,0.3,5.8,16.2,1.3,1.0,4.0,12.8,0.6,2.3,11.9,24.8,2.9,2.0,9.9,31.2,1.2,0.3,36.1,106.9,0.5,1.8,19.3,46.2,0.5,1.9,9.8,21.1
215,3621001,0.9,0.5,6.1,13.1,2.7,1.0,3.3,14.0,0.6,1.1,11.4,21.8,3.7,2.0,9.1,35.0,0.6,1.9,43.4,97.5,0.8,1.9,21.7,43.7,0.8,2.4,10.7,21.9
216,3621002,0.5,1.0,6.3,13.5,2.5,1.0,3.6,13.6,0.4,1.4,10.1,21.7,3.6,2.0,9.5,34.0,0.4,1.6,26.9,96.4,0.4,3.0,20.6,41.6,0.3,3.0,9.6,19.2
217,3621003,1.1,0.4,4.5,13.7,2.1,1.0,4.0,12.4,0.6,1.1,10.0,22.4,3.5,2.0,9.8,32.0,0.6,1.1,19.1,98.5,1.0,0.9,17.5,40.2,1.1,1.0,8.2,18.7
218,3621004,0.8,0.9,5.5,12.4,3.1,1.0,3.0,14.0,0.9,0.8,10.9,20.6,4.2,2.0,8.0,34.9,0.5,2.0,34.0,87.9,0.6,2.4,18.5,41.1,0.7,2.2,10.7,20.4
219,3621005,0.9,0.6,3.1,12.6,2.5,1.0,3.5,12.2,0.5,1.3,8.4,19.5,3.9,2.0,8.6,32.0,0.5,1.3,15.7,84.2,1.0,1.4,16.0,36.2,1.1,1.3,7.8,17.3
220,3621101,0.5,1.0,6.6,13.2,3.3,1.0,3.6,14.4,0.9,0.8,10.9,24.7,3.8,2.0,8.7,37.7,0.4,3.7,46.7,96.2,0.3,3.4,19.1,41.9,0.5,1.0,10.4,21.3
221,3621102,1.4,0.0,3.8,11.4,4.4,1.0,3.0,13.0,0.6,1.9,5.9,20.7,4.8,1.3,7.8,38.1,0.7,3.7,21.6,76.0,0.6,1.9,11.8,34.6,0.7,1.9,6.0,16.4
222,3621103,1.3,0.0,5.0,12.0,3.8,1.0,3.0,14.0,0.6,1.9,7.3,22.7,4.4,2.0,8.0,37.7,0.7,3.7,33.5,84.1,0.6,1.8,16.0,39.2,0.6,1.6,9.9,18.5
223,3621105,1.6,0.0,3.3,11.8,4.7,0.9,3.1,13.8,0.4,2.0,6.8,19.2,5.2,0.3,7.0,38.5,0.5,4.0,16.9,72.9,0.5,2.2,10.4,31.6,0.5,2.2,6.1,15.9
224,3621106,1.1,0.4,3.6,11.2,4.5,1.0,3.0,13.0,0.6,1.8,5.4,21.7,5.1,0.8,7.1,36.4,0.5,3.7,16.0,76.1,0.4,1.8,12.2,35.1,0.4,2.0,7.6,17.6
225,3621201,1.8,0.0,3.0,8.2,5.4,0.0,3.0,13.3,0.9,1.1,6.5,15.9,5.8,0.0,6.2,34.8,0.9,1.9,14.7,57.3,1.0,0.4,9.0,22.7,0.5,1.5,6.0,13.9
226,3621202,0.9,0.6,2.4,8.2,5.1,0.2,3.0,12.7,1.0,0.7,3.4,19.9,5.7,0.0,6.0,34.3,1.0,1.5,10.9,63.7,0.8,1.3,9.6,26.3,0.9,1.0,5.2,16.5
227,3621203,0.5,1.0,2.8,11.4,4.7,1.0,3.0,13.0,1.6,0.0,4.5,22.8,5.3,0.1,6.2,34.1,1.0,0.5,11.5,74.6,0.5,1.3,11.4,34.4,1.4,0.0,6.0,18.3
228,3621301,4.5,0.0,0.5,3.9,4.3,0.5,3.3,10.4,4.0,0.0,1.6,6.9,4.8,0.6,5.6,30.9,0.6,0.9,6.9,38.5,2.5,0.1,3.4,13.6,4.3,0.0,1.4,5.9
229,5031102,0.5,2.4,15.1,29.7,2.7,1.0,7.0,26.0,0.5,5.5,21.4,39.9,0.9,4.1,18.0,55.6,0.1,99.4,149.7,194.3,0.3,8.7,46.1,102.4,0.4,2.9,15.6,48.1
230,5031103,0.6,2.8,13.7,25.9,2.9,1.0,6.9,26.0,0.3,5.2,20.5,33.6,0.7,3.2,18.5,56.5,0.1,103.9,148.3,178.9,0.2,8.9,42.8,87.9,0.4,4.0,14.2,39.5
231,5031104,0.5,3.5,16.2,25.5,2.4,1.0,6.7,26.0,0.2,6.2,23.0,32.4,0.4,2.9,18.2,56.3,0.0,117.1,151.6,174.0,0.3,12.8,49.9,84.5,0.5,3.4,16.2,38.9
232,5031106,0.5,2.3,18.1,23.8,1.9,1.0,6.7,26.0,0.3,7.0,24.2,29.2,0.7,2.1,18.1,56.7,0.1,109.2,152.6,169.0,0.3,8.2,52.1,80.8,0.8,2.0,17.8,36.2
233,5031107,0.4,2.7,15.4,23.2,2.4,1.0,6.8,26.0,0.3,5.8,22.9,29.5,0.4,2.3,18.8,56.1,0.1,107.7,150.1,168.3,0.5,6.4,47.3,80.7,0.4,2.5,15.5,35.6
234,5031108,0.4,3.7,14.3,24.5,2.7,1.0,6.9,26.0,0.3,6.7,22.0,31.7,0.4,3.1,19.0,56.4,0.1,110.7,149.1,172.4,0.4,10.3,43.3,81.2,0.2,3.8,14.3,36.7
235,5031109,0.2,1.5,14.5,22.3,2.3,1.0,6.5,26.0,0.3,3.7,22.5,28.2,0.7,2.1,17.8,56.3,0.4,76.7,149.6,162.2,0.6,4.2,47.3,76.9,0.6,1.4,17.7,34.3
236,5031201,1.3,0.0,11.7,32.2,3.8,2.0,7.3,25.2,1.1,0.0,15.7,40.2,2.1,5.0,18.0,52.1,0.3,3.0,142.8,215.3,0.6,1.7,38.4,99.2,1.0,0.7,16.4,44.2
237,5031202,1.1,0.3,11.5,31.4,3.6,1.7,7.3,25.9,0.9,0.8,15.8,39.8,1.8,5.0,17.9,53.8,0.4,3.4,143.1,208.3,0.4,2.3,39.5,96.5,0.7,1.2,16.0,43.8
238,5031203,0.8,0.9,10.5,29.5,3.8,1.5,6.3,25.9,0.6,1.1,16.1,36.3,1.7,4.5,17.2,54.3,0.7,3.8,140.6,195.6,0.3,3.2,36.3,88.1,0.4,1.5,13.8,38.8
239,5031204,0.3,2.3,11.9,26.4,3.2,1.0,6.6,26.0,0.3,4.0,20.1,33.2,0.9,4.0,17.8,56.2,0.4,67.5,146.6,176.2,0.2,8.2,37.8,82.7,0.3,3.6,14.0,36.0
240,5031205,0.3,1.9,9.3,26.4,3.6,1.0,6.0,26.0,0.3,1.9,17.6,33.0,1.2,4.0,16.0,55.5,0.5,11.5,143.0,173.7,0.4,4.6,33.4,80.6,0.4,2.0,12.3,35.4
241,5031206,0.5,2.0,10.8,23.0,3.4,1.0,6.8,26.0,0.5,3.0,19.0,30.6,1.0,3.3,17.0,55.1,0.4,47.7,145.3,168.3,0.3,6.4,36.1,78.3,0.3,2.5,13.7,33.2
242,5031207,0.5,2.5,10.4,22.2,3.4,1.0,7.0,26.0,0.7,2.6,18.9,31.0,1.1,3.4,16.8,55.0,0.2,31.5,144.2,166.1,0.3,6.9,36.6,76.7,0.5,2.8,15.8,32.9
