,postal_code,Weighted_Average_Age,Standard_Deviation_Age,prop_0-14,prop_15-24,prop_25-44,prop_45-64,prop_65+,prop_university,worker,prop_women,pop_density,livability_score,Aid,Income,single_family_housing
251,5031401,38.56549520766773,19.769672723114322,0.13738019169329074,0.14696485623003194,0.3354632587859425,0.24600638977635783,0.134185303514377,0.268370607028754,0.1693290734824281,0.5175718849840255,0.2501836984623758,8.041317491814056,0.07017543859649122,0.12304075235109718,0.07
252,5031402,44.00588235294118,20.124464789031848,0.10588235294117647,0.1411764705882353,0.17647058823529413,0.40588235294117647,0.17058823529411765,0.4235294117647059,0.17647058823529416,0.5058823529411764,0.17684038644713568,8.431794664383931,0.017543859649122806,0.225705329153605,0.66
253,5031403,38.330827067669176,22.073815998308355,0.21804511278195488,0.10526315789473684,0.2706766917293233,0.24812030075187969,0.16541353383458646,0.3458646616541353,0.24812030075187974,0.48120300751879697,0.138957681317186,8.498427530246268,0.017543859649122806,0.2523510971786834,0.85
254,5031404,42.48770491803279,18.710363911036538,0.045081967213114756,0.1680327868852459,0.3770491803278688,0.20491803278688525,0.20491803278688525,0.3770491803278688,0.2622950819672131,0.46311475409836067,0.1946115117703089,8.096693556399865,0.023391812865497075,0.1065830721003135,0.21
255,5031405,40.0,22.238922458859097,0.20491803278688525,0.08811475409836066,0.24385245901639344,0.2766393442622951,0.1864754098360656,0.4180327868852459,0.2213114754098361,0.5020491803278688,0.18919580895359914,8.505993446493179,0.04678362573099415,0.2656739811912226,0.65
256,5031406,28.53500897666068,18.317029621268066,0.3357271095152603,0.08617594254937164,0.39676840215439857,0.15798922800718132,0.026929982046678635,0.3052064631956912,0.3536804308797128,0.5080789946140036,0.24416927473125596,8.514482974758524,0.04093567251461988,0.2594043887147336,0.78
257,5031407,37.90553745928339,21.5674278317539,0.21498371335504887,0.1270358306188925,0.20195439739413681,0.34201954397394135,0.11400651465798045,0.46254071661237783,0.28338762214983715,0.4788273615635179,0.2971288610695333,8.430779890153158,0.029239766081871343,0.3079937304075235,0.69
258,5032201,43.55068493150685,20.3600232910734,0.1178082191780822,0.12876712328767123,0.1863013698630137,0.3917808219178082,0.1726027397260274,0.23013698630136986,0.17808219178082196,0.5041095890410959,0.27538440604163833,8.209231168800716,0.04093567251461988,0.18338557993730406,0.87
259,5032202,40.101190476190474,20.576118809178592,0.13988095238095238,0.13095238095238096,0.30952380952380953,0.24702380952380953,0.17261904761904762,0.17857142857142858,0.16666666666666663,0.47619047619047616,0.2682541842427541,7.778430182057821,0.07602339181286549,0.10109717868338558,0.27
260,5032203,41.6388140161725,20.942071371056482,0.14555256064690028,0.11859838274932614,0.24258760107816713,0.31805929919137466,0.1752021563342318,0.2857142857142857,0.19137466307277629,0.48787061994609165,0.229037964348891,8.080948147914924,0.05263157894736842,0.16614420062695928,0.56
261,5032204,43.95029821073559,21.009784592394656,0.12127236580516898,0.12127236580516898,0.2147117296222664,0.3220675944333996,0.220675944333996,0.2823061630218688,0.16500994035785288,0.47713717693836977,0.17482650700775615,8.213991084064329,0.05263157894736842,0.17711598746081506,0.63
262,5032301,43.73245614035088,21.748228383641358,0.12280701754385964,0.13596491228070176,0.22807017543859648,0.25,0.2631578947368421,0.23684210526315788,0.1228070175438597,0.5,0.18214723091577084,8.109176004273195,0.04093567251461988,0.13244514106583072,0.63
263,5032302,44.51744186046512,21.84474087160988,0.12209302325581395,0.12209302325581395,0.21511627906976744,0.25,0.28488372093023256,0.26744186046511625,0.18604651162790697,0.5174418604651163,0.23254864607429582,8.134277300962372,0.023391812865497075,0.14184952978056428,0.68
