"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"RegionType_2";"Encoding_3";"ChangeInDistrictOrNeighbourhood_4";"DistanceToGPPractice_5";"Within1Km_6";"Within3Km_7";"Within5Km_8";"DistanceToGPPost_9";"DistanceToPharmacy_10";"DistanceToHospital_11";"Within5Km_12";"Within10Km_13";"Within20Km_14";"DistanceToHospital_15";"Within5Km_16";"Within10Km_17";"Within20Km_18";"DistanceToYouthHealthCentre_19";"DistanceToPhysiotherapist_20";"Within1Km_21";"Within3Km_22";"Within5Km_23";"DistanceToLargeSupermarket_24";"Within1Km_25";"Within3Km_26";"Within5Km_27";"DistanceToShopForOtherDailyFood_28";"Within1Km_29";"Within3Km_30";"Within5Km_31";"DistanceToDepartmentStore_32";"Within5Km_33";"Within10Km_34";"Within20Km_35";"DistanceToCafeEtc_36";"Within1Km_37";"Within3Km_38";"Within5Km_39";"DistanceToCafeteriaEtc_40";"Within1Km_41";"Within3Km_42";"Within5Km_43";"DistanceToRestaurant_44";"Within1Km_45";"Within3Km_46";"Within5Km_47";"DistanceToHotelEtc_48";"Within5Km_49";"Within105km_50";"Within20Km_51";"DistanceToDaycareCentres_52";"Within1Km_53";"Within3Km_54";"Within5Km_55";"DistanceToOutOfSchoolCare_56";"Within1Km_57";"Within3Km_58";"Within5Km_59";"DistanceToSchool_60";"Within1Km_61";"Within3Km_62";"Within5Km_63";"DistanceToSchool_64";"Within3Km_65";"Within5Km_66";"Within10Km_67";"DistanceToSchool_68";"Within3Km_69";"Within5Km_70";"Within10Km_71";"DistanceToSchool_72";"Within3Km_73";"Within5Km_74";"Within10Km_75";"DistanceToPublicGreenTotal_76";"DistanceToPark_77";"DistanceToRecreationalTerrain_78";"DistanceToForest_79";"DistanceToOpenNatTerrainTotal_80";"DistanceToOpenDryNaturalTerrain_81";"DistanceToOpenWetNaturalTerrain_82";"DistanceToSemiPublicGreenTotal_83";"DistanceToSportsArea_84";"DistanceToAllotmentGarden_85";"DistanceToRecreationalArea_86";"DistanceToCemetery_87";"DistanceToRecreationalInlandWaters_88";"DistanceToMainRoadEntrance_89";"DistanceToTrainStationAllTypes_90";"DistanceToImportantTransferStation_91";"DistanceToLibrary_92";"DistanceToSwimmingPool_93";"DistanceToArtificialIceSkatingRink_94";"DistanceToMuseum_95";"Within5Km_96";"Within10Km_97";"Within20Km_98";"DistanceToPerformingArts_99";"Within5Km_100";"Within10Km_101";"Within20Km_102";"DistanceToPopMusicVenue_103";"DistanceToCinema_104";"Within5Km_105";"Within10Km_106";"Within20Km_107";"DistanceToSauna_108";"DistanceToTanningSalon_109";"DistanceToAttraction_110";"Within10Km_111";"Within20Km_112";"Within50Km_113";"DistanceToFireStation_114"
"9127";"BU05460200";"Leiden                                  ";"Neighbourhood";"BU05460200";"1";"     1.0";"     0.4";"    28.0";"    42.0";"     1.5";"     1.1";"     1.4";"     2.5";"     6.0";"    17.1";"     1.4";"     2.5";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"     3.5";"    22.2";"    41.3";"     0.5";"    22.7";"   136.9";"   194.2";"     0.6";"     6.0";"    12.0";"    39.3";"     0.3";"    31.5";"    78.9";"    86.1";"     0.4";"    32.9";"   104.0";"   135.3";"     0.4";"    69.3";"   210.1";"   257.6";"     0.4";"    21.0";"    32.5";"   163.5";"     0.5";"     6.5";"    49.7";"    93.4";"     0.6";"     2.9";"    42.0";"    87.2";"     0.6";"     1.0";"    21.0";"    50.7";"     0.9";"    14.1";"    19.3";"    29.0";"     1.0";"    10.4";"    14.3";"    22.0";"     0.9";"     9.7";"    11.0";"    15.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.5";"     0.6";"     0.6";"     1.6";"     2.3";"     1.4";"     0.5";"    11.0";"    17.0";"    51.0";"     0.7";"     3.0";"     4.0";"    31.1";"     0.7";"     0.9";"     3.0";"     5.0";"    13.0";"     0.7";"     0.5";"     3.0";"     4.0";"    20.3";"    75.2";"     2.2"
"9128";"WK054603  ";"Leiden                                  ";"District     ";"WK054603  ";"1";"     0.7";"     2.3";"    20.5";"    39.3";"     2.8";"     0.9";"     2.3";"     2.9";"     5.4";"    16.9";"     2.3";"     2.9";"     3.0";"     7.9";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.4";"    21.0";"    36.3";"     0.4";"    10.7";"   116.7";"   175.1";"     1.5";"     6.0";"    10.8";"    35.5";"     0.7";"     5.4";"    73.1";"    84.1";"     0.4";"     6.3";"    97.9";"   127.8";"     0.5";"    10.2";"   195.1";"   247.6";"     1.0";"    21.3";"    27.6";"   154.8";"     0.4";"     3.4";"    42.5";"    78.1";"     0.4";"     3.5";"    39.7";"    75.0";"     0.8";"     1.7";"    21.5";"    42.1";"     0.7";"    11.3";"    18.6";"    27.3";"     1.0";"     8.4";"    13.7";"    21.5";"     0.7";"     7.6";"    10.7";"    13.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.0";"     2.0";"     2.0";"     1.0";"     1.3";"     2.8";"     1.5";"    10.3";"    15.4";"    48.6";"     1.6";"     3.0";"     4.0";"    28.9";"     1.6";"     1.8";"     3.0";"     4.7";"    12.7";"     2.1";"     1.2";"     2.0";"     2.6";"    19.1";"    75.9";"     1.9"
"9129";"BU05460300";"Leiden                                  ";"Neighbourhood";"BU05460300";"1";"     1.1";"     0.5";"    19.0";"    39.5";"     2.4";"     1.4";"     1.7";"     2.8";"     6.0";"    17.0";"     1.7";"     2.8";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     1.2";"     0.3";"    18.1";"    37.4";"     0.6";"     3.5";"   112.1";"   178.4";"     1.3";"     6.0";"    11.7";"    36.4";"     1.0";"     3.2";"    72.2";"    84.1";"     0.7";"     3.0";"    94.5";"   128.4";"     0.7";"     6.1";"   189.9";"   249.3";"     1.2";"    21.0";"    29.4";"   158.9";"     0.3";"     2.4";"    37.7";"    80.7";"     0.3";"     2.1";"    33.0";"    76.5";"     1.1";"     0.6";"    19.0";"    44.8";"     0.8";"    11.0";"    18.6";"    28.1";"     1.3";"     8.4";"    13.6";"    21.8";"     0.8";"     7.3";"    10.6";"    14.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.3";"     1.6";"     1.6";"     1.6";"     2.0";"     2.4";"     1.5";"    10.6";"    16.1";"    49.7";"     1.6";"     3.0";"     4.0";"    29.6";"     1.6";"     1.8";"     3.0";"     4.9";"    13.0";"     1.7";"     1.2";"     2.9";"     2.8";"    19.2";"    74.7";"     1.4"
"9130";"BU05460301";"Leiden                                  ";"Neighbourhood";"BU05460301";"1";"     0.5";"     3.0";"    22.7";"    40.5";"     2.6";"     0.7";"     2.1";"     2.9";"     5.9";"    17.0";"     2.1";"     2.9";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     3.3";"    21.5";"    38.5";"     0.4";"    15.9";"   121.6";"   180.0";"     1.4";"     6.0";"    11.6";"    36.1";"     0.6";"     8.3";"    75.0";"    84.5";"     0.4";"     8.3";"   100.9";"   131.1";"     0.5";"    18.6";"   201.8";"   250.4";"     0.8";"    21.7";"    28.4";"   160.3";"     0.5";"     3.2";"    45.1";"    80.9";"     0.5";"     3.5";"    41.9";"    78.0";"     0.8";"     1.3";"    22.9";"    44.8";"     0.9";"    11.2";"    18.8";"    28.1";"     1.2";"     8.3";"    13.8";"    21.9";"     0.9";"     7.7";"    10.8";"    14.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.1";"     1.7";"     1.7";"     1.0";"     1.4";"     2.5";"     1.2";"    10.6";"    16.2";"    50.3";"     1.3";"     3.0";"     4.0";"    30.0";"     1.3";"     1.5";"     3.0";"     5.0";"    13.0";"     1.9";"     0.9";"     2.1";"     3.0";"    19.8";"    75.8";"     1.8"
"9131";"BU05460302";"Leiden                                  ";"Neighbourhood";"BU05460302";"1";"     0.6";"     2.5";"    19.4";"    38.2";"     3.2";"     0.9";"     2.8";"     2.9";"     4.5";"    16.7";"     2.8";"     2.9";"     3.0";"     7.7";"       .";"       .";"       .";"       .";"       .";"     0.7";"     2.7";"    22.2";"    33.8";"     0.4";"     9.5";"   114.4";"   169.0";"     1.7";"     5.9";"     9.7";"    34.6";"     0.6";"     3.8";"    71.9";"    83.8";"     0.4";"     6.1";"    96.9";"   124.6";"     0.5";"     4.7";"   191.6";"   244.2";"     1.2";"    21.0";"    26.0";"   147.6";"     0.3";"     4.0";"    42.7";"    74.2";"     0.4";"     4.1";"    41.2";"    71.6";"     0.5";"     2.7";"    21.6";"    38.3";"     0.5";"    11.5";"    18.5";"    26.0";"     0.6";"     8.6";"    13.5";"    21.0";"     0.5";"     7.6";"    10.6";"    13.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.8";"     2.4";"     2.4";"     0.6";"     0.8";"     3.2";"     1.7";"    10.0";"    14.2";"    46.4";"     2.0";"     3.0";"     4.0";"    27.4";"     2.0";"     2.1";"     3.0";"     4.3";"    12.3";"     2.6";"     1.4";"     1.4";"     2.1";"    18.4";"    76.6";"     2.2"
"9132";"WK054604  ";"Leiden                                  ";"District     ";"WK054604  ";"1";"     0.5";"     4.1";"    20.8";"    39.6";"     3.3";"     0.7";"     3.2";"     2.8";"     4.0";"    16.2";"     3.2";"     2.8";"     3.0";"     7.7";"       .";"       .";"       .";"       .";"       .";"     0.6";"     2.2";"    20.2";"    36.4";"     0.4";"    10.6";"   108.5";"   178.9";"     1.9";"     5.4";"     9.1";"    37.6";"     0.7";"     4.2";"    68.5";"    85.9";"     0.5";"     6.0";"    85.3";"   132.9";"     0.5";"    10.0";"   177.4";"   250.4";"     1.5";"    19.2";"    25.3";"   152.1";"     0.4";"     5.1";"    32.2";"    76.6";"     0.5";"     5.4";"    27.9";"    69.8";"     0.8";"     1.9";"    14.3";"    39.6";"     0.8";"     5.9";"    15.8";"    25.2";"     0.9";"     3.7";"    11.5";"    19.7";"     1.1";"     3.9";"     9.9";"    12.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.5";"     1.4";"     2.9";"     1.7";"     1.7";"     3.5";"     1.7";"    10.7";"    14.1";"    48.3";"     2.1";"     3.0";"     3.9";"    29.7";"     2.6";"     2.1";"     3.5";"     4.6";"    12.6";"     2.4";"     1.4";"     3.1";"     3.4";"    21.1";"    76.3";"     1.6"
"9133";"BU05460400";"Leiden                                  ";"Neighbourhood";"BU05460400";"1";"     0.4";"     1.0";"    18.8";"    34.7";"     2.3";"     0.4";"     2.2";"     3.0";"     3.0";"    16.1";"     2.2";"     3.0";"     3.0";"     7.1";"       .";"       .";"       .";"       .";"       .";"     0.3";"     1.0";"    19.5";"    31.4";"     0.3";"     1.1";"   105.9";"   153.5";"     2.5";"     5.0";"     8.0";"    34.8";"     0.7";"     1.5";"    58.6";"    85.4";"     0.3";"     2.9";"    80.3";"   120.2";"     0.5";"     1.9";"   160.6";"   234.1";"     2.1";"    17.5";"    24.8";"   128.2";"     0.4";"     3.0";"    32.6";"    66.5";"     0.4";"     3.5";"    30.9";"    61.4";"     1.0";"     0.6";"    15.7";"    33.2";"     1.0";"     5.2";"    16.0";"    23.3";"     1.0";"     3.2";"    12.0";"    18.3";"     1.0";"     2.9";"    10.0";"    12.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.0";"     2.4";"     3.3";"     1.8";"     1.4";"     4.0";"     1.7";"    10.0";"    14.0";"    45.0";"     2.7";"     3.0";"     4.0";"    26.7";"     3.0";"     2.7";"     3.0";"     4.0";"    11.7";"     3.5";"     1.7";"     2.4";"     3.0";"    20.0";"    78.9";"     1.9"
"9134";"BU05460401";"Leiden                                  ";"Neighbourhood";"BU05460401";"1";"     0.7";"     2.4";"    22.3";"    38.4";"     2.9";"     0.8";"     2.8";"     3.0";"     3.9";"    16.0";"     2.8";"     3.0";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.9";"    24.4";"    35.1";"     0.7";"     6.8";"   123.0";"   177.8";"     1.9";"     5.0";"     9.3";"    35.6";"     0.2";"     5.5";"    79.8";"    86.1";"     0.2";"     4.3";"    98.4";"   130.5";"     0.3";"     4.9";"   208.4";"   246.5";"     1.5";"    20.3";"    25.8";"   147.8";"     0.4";"     6.5";"    37.0";"    77.5";"     0.4";"     8.0";"    32.3";"    70.9";"     0.7";"     2.3";"    18.4";"    39.0";"     0.3";"     5.4";"    16.4";"    25.5";"     0.3";"     3.0";"    12.2";"    20.5";"     0.3";"     3.4";"    10.2";"    12.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.3";"     1.6";"     2.7";"     1.4";"     2.0";"     3.4";"     1.4";"    10.0";"    14.0";"    46.1";"     2.0";"     3.0";"     4.0";"    28.2";"     2.4";"     2.0";"     3.0";"     4.1";"    12.2";"     2.7";"     1.0";"     2.5";"     3.0";"    20.5";"    77.7";"     2.3"
"9135";"BU05460402";"Leiden                                  ";"Neighbourhood";"BU05460402";"1";"     0.4";"     2.5";"    20.6";"    41.0";"     3.4";"     0.8";"     3.3";"     3.0";"     3.7";"    16.0";"     3.3";"     3.0";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     1.2";"     0.1";"    21.7";"    36.0";"     0.5";"     3.2";"   115.1";"   182.6";"     2.2";"     5.0";"     9.1";"    36.2";"     0.6";"     2.4";"    78.7";"    85.0";"     0.6";"     2.6";"    91.5";"   133.4";"     0.7";"     1.3";"   200.5";"   248.2";"     1.6";"    18.4";"    25.1";"   156.9";"     0.3";"     6.5";"    33.5";"    79.7";"     0.2";"    10.1";"    30.7";"    74.1";"     0.3";"     3.0";"    15.4";"    41.4";"     0.5";"     5.4";"    16.0";"    24.5";"     0.6";"     3.4";"    12.0";"    19.5";"     0.5";"     3.4";"    10.0";"    12.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.9";"     1.2";"     2.9";"     1.7";"     2.3";"     3.6";"     1.8";"    10.0";"    14.0";"    48.2";"     2.1";"     3.0";"     4.0";"    29.5";"     2.6";"     2.1";"     3.0";"     4.6";"    12.7";"     2.5";"     1.4";"     2.8";"     3.0";"    21.1";"    76.5";"     2.1"
"9136";"BU05460403";"Leiden                                  ";"Neighbourhood";"BU05460403";"1";"     0.2";"     6.4";"    21.8";"    43.0";"     3.6";"     0.3";"     3.5";"     3.0";"     4.1";"    16.3";"     3.5";"     3.0";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.9";"     2.3";"    21.6";"    37.7";"     0.2";"    15.4";"   117.1";"   187.0";"     1.8";"     5.2";"     9.9";"    37.6";"     0.6";"     6.2";"    79.8";"    85.5";"     0.6";"     8.2";"    97.0";"   137.3";"     0.7";"    10.1";"   205.9";"   255.0";"     1.1";"    20.3";"    25.7";"   163.1";"     0.3";"     7.9";"    35.1";"    82.3";"     0.3";"    11.3";"    30.6";"    78.7";"     0.5";"     3.2";"    15.3";"    45.0";"     0.5";"     6.8";"    16.5";"    25.4";"     0.7";"     4.6";"    12.1";"    20.0";"     0.5";"     4.8";"    10.3";"    12.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.7";"     0.9";"     2.5";"     1.3";"     2.0";"     3.2";"     1.6";"    10.1";"    14.0";"    50.7";"     1.7";"     3.0";"     4.0";"    30.1";"     2.2";"     1.7";"     3.1";"     5.0";"    13.0";"     2.0";"     1.2";"     2.7";"     3.0";"    21.9";"    76.0";"     1.7"
"9137";"BU05460404";"Leiden                                  ";"Neighbourhood";"BU05460404";"1";"     0.5";"     7.1";"    23.2";"    44.1";"     3.7";"     0.6";"     3.7";"     3.0";"     4.2";"    17.0";"     3.7";"     3.0";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.9";"     2.3";"    22.0";"    39.5";"     0.2";"    13.7";"   118.2";"   195.7";"     1.6";"     6.0";"     9.7";"    39.7";"     0.8";"     2.9";"    80.1";"    86.7";"     0.4";"     6.2";"    95.2";"   142.6";"     0.4";"     8.1";"   201.4";"   264.5";"     1.2";"    20.1";"    25.5";"   164.9";"     0.3";"     6.9";"    31.5";"    84.5";"     0.4";"     9.1";"    28.3";"    77.3";"     0.6";"     3.2";"    13.7";"    44.3";"     0.8";"     6.4";"    16.2";"    26.0";"     1.0";"     4.3";"    12.0";"    20.0";"     1.1";"     4.4";"    10.3";"    13.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     0.4";"     2.6";"     1.4";"     1.7";"     3.3";"     1.7";"    11.3";"    14.0";"    51.0";"     1.8";"     3.0";"     4.0";"    31.7";"     2.3";"     1.8";"     4.0";"     5.0";"    13.0";"     1.8";"     1.3";"     3.2";"     3.4";"    22.0";"    76.0";"     1.3"
"9138";"BU05460405";"Leiden                                  ";"Neighbourhood";"BU05460405";"1";"     0.2";"     8.9";"    26.2";"    45.5";"     3.2";"     0.5";"     3.2";"     3.0";"     5.0";"    17.0";"     3.2";"     3.0";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.3";"     5.0";"    23.2";"    40.5";"     0.3";"    30.0";"   127.0";"   197.6";"     1.1";"     6.4";"    10.0";"    40.6";"     0.4";"    12.0";"    80.6";"    86.7";"     0.2";"    16.0";"   103.3";"   142.0";"     0.3";"    35.7";"   207.1";"   266.1";"     0.9";"    21.3";"    26.4";"   165.4";"     0.3";"     7.2";"    40.0";"    87.7";"     0.3";"     5.3";"    30.9";"    79.9";"     0.3";"     3.4";"    16.1";"    46.9";"     1.2";"     8.7";"    18.0";"    26.6";"     1.2";"     5.7";"    13.0";"    20.6";"     1.4";"     6.0";"    11.0";"    13.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     0.7";"     2.1";"     1.2";"     1.1";"     2.6";"     1.1";"    11.9";"    14.4";"    51.0";"     1.3";"     3.0";"     4.0";"    31.6";"     1.9";"     1.2";"     4.0";"     5.0";"    13.0";"     1.2";"     0.9";"     3.3";"     4.0";"    22.0";"    75.3";"     0.9"
"9139";"BU05460406";"Leiden                                  ";"Neighbourhood";"BU05460406";"1";"     0.7";"     2.6";"    22.1";"    40.9";"     4.1";"     1.1";"     4.1";"     2.9";"     4.4";"    16.7";"     4.1";"     2.9";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.4";"     2.0";"    17.9";"    39.1";"     0.4";"     6.5";"   110.2";"   186.6";"     1.3";"     5.3";"     9.2";"    39.4";"     0.7";"     1.8";"    75.8";"    86.2";"     0.8";"     3.4";"    83.8";"   137.6";"     0.3";"     6.5";"   195.0";"   257.2";"     1.3";"    18.8";"    25.1";"   168.1";"     0.7";"     2.5";"    27.3";"    79.8";"     1.1";"     0.6";"    21.5";"    69.4";"     1.1";"     0.5";"    11.9";"    40.0";"     0.4";"     6.0";"    15.1";"    26.9";"     0.4";"     4.0";"    11.0";"    20.8";"     1.8";"     4.0";"    10.1";"    14.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.6";"     0.7";"     2.9";"     1.9";"     1.6";"     3.3";"     2.0";"    11.4";"    14.0";"    51.4";"     2.2";"     3.0";"     4.3";"    32.4";"     2.7";"     2.1";"     4.0";"     5.0";"    13.8";"     1.6";"     1.2";"     3.9";"     4.8";"    22.0";"    73.6";"     1.1"
"9140";"BU05460407";"Leiden                                  ";"Neighbourhood";"BU05460407";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"9141";"BU05460408";"Leiden                                  ";"Neighbourhood";"BU05460408";"1";"     0.7";"     1.0";"    11.2";"    29.5";"     2.9";"     0.7";"     2.8";"     1.4";"     3.0";"    14.8";"     2.8";"     1.4";"     3.0";"     7.1";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.0";"    13.0";"    30.6";"     0.7";"     1.0";"    58.4";"   151.3";"     3.1";"     5.0";"     8.0";"    34.9";"     1.3";"     0.1";"    24.9";"    85.0";"     0.7";"     1.1";"    41.0";"   119.1";"     1.0";"     0.4";"    66.5";"   228.0";"     2.7";"    17.0";"    24.0";"   125.2";"     0.4";"     2.9";"    22.3";"    56.2";"     0.4";"     2.2";"    22.1";"    50.9";"     1.5";"     0.2";"    10.1";"    28.7";"     1.6";"     2.6";"    12.2";"    23.0";"     1.6";"     1.2";"     8.3";"    18.0";"     1.6";"     2.1";"     7.5";"    12.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     3.0";"     4.0";"     2.4";"     2.0";"     4.7";"     2.3";"    10.0";"    14.0";"    42.5";"     3.3";"     3.0";"     3.1";"    26.6";"     3.7";"     3.3";"     3.0";"     4.0";"    11.6";"     4.1";"     2.3";"     3.0";"     2.1";"    19.2";"    77.4";"     2.4"
"9142";"BU05460409";"Leiden                                  ";"Neighbourhood";"BU05460409";"1";"     0.9";"     0.7";"    17.8";"    34.1";"     2.6";"     0.9";"     2.5";"     3.0";"     3.0";"    14.6";"     2.5";"     3.0";"     3.0";"     7.0";"       .";"       .";"       .";"       .";"       .";"     0.8";"     0.9";"    18.8";"    31.2";"     0.8";"     0.9";"   100.2";"   151.7";"     2.7";"     5.0";"     8.0";"    34.1";"     0.8";"     1.3";"    53.5";"    84.9";"     0.7";"     2.5";"    74.4";"   119.5";"     0.8";"     1.3";"   144.7";"   232.0";"     2.2";"    17.2";"    24.6";"   124.7";"     0.9";"     1.2";"    30.8";"    65.8";"     0.9";"     1.2";"    28.1";"    60.1";"     1.3";"     0.0";"    13.0";"    32.2";"     1.1";"     4.1";"    16.0";"    23.0";"     1.1";"     2.1";"    12.0";"    18.0";"     1.1";"     2.4";"    10.0";"    12.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.6";"     2.5";"     3.4";"     2.2";"     1.8";"     4.1";"     2.1";"    10.0";"    14.0";"    45.0";"     2.8";"     3.0";"     3.9";"    26.1";"     3.1";"     2.8";"     3.0";"     4.0";"    11.1";"     3.6";"     1.8";"     2.7";"     2.7";"    19.8";"    78.3";"     2.2"
"9143";"WK054605  ";"Leiden                                  ";"District     ";"WK054605  ";"1";"     0.4";"     3.5";"    24.1";"    39.6";"     3.3";"     0.7";"     3.3";"     2.0";"     5.2";"    17.0";"     3.3";"     2.0";"     3.2";"     8.2";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.8";"    19.5";"    35.8";"     0.4";"     8.7";"   112.4";"   178.3";"     0.9";"     5.0";"    10.6";"    40.4";"     0.7";"     3.8";"    62.0";"    85.3";"     0.6";"     4.0";"    83.3";"   132.0";"     0.4";"    12.9";"   172.8";"   248.5";"     1.1";"    20.4";"    28.8";"   170.5";"     0.4";"     4.2";"    37.4";"    75.9";"     0.6";"     2.2";"    31.4";"    67.9";"     0.6";"     2.1";"    18.3";"    37.2";"     0.9";"     7.4";"    16.1";"    28.6";"     0.9";"     5.2";"    11.6";"    22.0";"     0.9";"     4.5";"    10.3";"    14.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     1.5";"     2.5";"     2.1";"     1.0";"     2.2";"     1.8";"    11.2";"    15.7";"    52.1";"     2.2";"     3.0";"     4.5";"    33.5";"     2.5";"     2.0";"     4.0";"     5.0";"    13.9";"     0.9";"     1.1";"     4.6";"     4.7";"    22.0";"    73.6";"     1.0"
"9144";"BU05460500";"Leiden                                  ";"Neighbourhood";"BU05460500";"1";"     0.3";"     6.1";"    27.6";"    44.2";"     2.6";"     0.9";"     2.6";"     2.6";"     5.0";"    17.1";"     2.6";"     2.6";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.5";"    22.9";"    40.1";"     0.5";"    20.6";"   129.4";"   194.5";"     1.1";"     6.4";"    10.7";"    40.3";"     0.5";"    16.5";"    79.2";"    85.5";"     0.6";"    13.4";"   103.6";"   138.5";"     0.4";"    46.7";"   208.3";"   260.8";"     0.7";"    21.2";"    28.9";"   165.7";"     0.4";"     4.8";"    43.3";"    86.8";"     0.7";"     2.6";"    35.0";"    79.6";"     0.7";"     3.1";"    17.2";"    47.3";"     1.6";"    12.8";"    18.1";"    28.5";"     1.6";"     9.6";"    13.1";"    22.0";"     1.6";"     8.0";"    11.0";"    15.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.8";"     1.3";"     1.6";"     1.4";"     1.1";"     1.8";"     0.8";"    11.5";"    16.1";"    51.0";"     1.1";"     3.0";"     4.0";"    31.2";"     1.4";"     1.0";"     3.8";"     5.0";"    13.0";"     1.1";"     1.0";"     3.6";"     4.0";"    21.9";"    74.4";"     1.1"
"9145";"BU05460501";"Leiden                                  ";"Neighbourhood";"BU05460501";"1";"     0.3";"     2.5";"    27.1";"    42.6";"     2.2";"     1.1";"     2.2";"     2.0";"     5.0";"    17.9";"     2.2";"     2.0";"     3.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"     1.0";"     0.3";"    22.7";"    39.3";"     0.2";"    11.1";"   131.7";"   188.5";"     1.2";"     6.0";"    11.0";"    40.0";"     0.6";"     9.6";"    77.2";"    85.6";"     0.5";"     6.1";"   103.2";"   134.6";"     0.3";"    30.4";"   209.5";"   255.4";"     0.9";"    21.0";"    31.0";"   166.0";"     0.2";"     2.6";"    45.4";"    85.9";"     0.7";"     2.0";"    37.7";"    79.4";"     0.9";"     1.8";"    19.9";"    45.4";"     1.1";"    13.2";"    18.0";"    29.0";"     1.1";"     9.9";"    13.0";"    22.0";"     1.1";"     8.7";"    11.0";"    15.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.1";"     1.3";"     1.3";"     1.6";"     1.0";"     1.3";"     0.9";"    11.5";"    17.0";"    51.0";"     1.1";"     3.0";"     4.0";"    32.0";"     1.4";"     1.0";"     4.0";"     5.0";"    13.0";"     1.0";"     1.2";"     4.0";"     4.0";"    22.0";"    74.2";"     1.4"
